Радіус атома                      71 пм
Густина                             1,56 г/смКУБ
Густина                             1,40 г/смКУБ
Питома теплоємність         0,138 Дж/(K моль)
Теплопровідність               0,0177 Вт/(м К)
Температура плавлення     83,8 K
Теплота плавлення            n/a кДж/моль
Температура кипіння         87,3 K
Теплота випаровування     6,52 кДж/моль
Молярний об'єм                  24,2 смКУБ/моль
Рік відкриття                      1894
Першовідкривач                 Джон Рейлі та Вільям Рамзай
