Радіус атома                        1409 пм
Густина                               4,79 г/смКУБ
Питома теплоємність           0,321 Дж/(K моль)
Теплопровідність                  0,52 Вт/(м К)
Температура плавлення       490 K
Теплота плавлення               5,23 кДж/моль
Температура кипіння           958,1 K
Теплота випаровування       59,7 кДжКУБ/моль
Молярний об'єм                    16,5 смКУБ/моль
Рік відкриття                      1817
Першовідкривач                 Йонс Якоб Берцеліус
