Радіус атома                       166 пм
Густина                               7,31 г/смКУБ
Питома теплоємність          0,234 Дж/(K моль)
Теплопровідність                 81,8 Вт/(м К)
Температура плавлення      429,32 K
Теплота плавлення              3,24 кДж/моль
Температура кипіння          2353 K
Теплота випаровування       225,1 кДж/моль
Молярний об'єм                    15,7 смКУБ/моль
Рік відкриття                       1863
Першовідкривач                  Фердинанд Райх та Теодор Ріхтер 
